id,rooms,address,price,lat,lon,canton
"288,4.5,""Biel-Bienne, Südstrasse 38-46"",1331,47.1426659,7.2746171,berne"
"289,4,""Malleray, Rue du Pont 10"",1000,47.2375314,7.2706995,berne"
"290,3.5,""Hasle b. Burgdorf, Emmenstrasse 5"",1150,47.0173651,7.6540276,berne"
"291,3.5,""Herzogenbuchsee, Wiesenweg 9"",1540,47.1910411,7.6981195,berne"
"292,N/A,""3780 Gstaad, Contact agency for the address"",N/A,46.4708042,7.2862706,berne"
"293,3.5,""3550 Langnau im Emmental, Contact agency for the address"",1270,46.9382563,7.7964790,berne"
"294,3.5,""Lotzwil, Kirchgasse 23"",1990,47.1904828,7.7876007,berne"
"295,4.5,""Burgdorf, Gotthelfstr. 54"",1470,47.0599696,7.6260297,berne"
"296,4.5,""3312 Fraubrunnen, Contact agency for the address"",1400,47.0803751,7.5247203,berne"
"297,2.5,""Moutier, Rue du Viaduc 60"",560,47.2748121,7.3740494,berne"
"298,3,""St-Imier, Rue Dr-Schwab 8"",1050,47.1534225,7.0016728,berne"
"299,3.5,""Bern, Zytgloggelaube 6"",N/A,46.9481010,7.4477150,berne"
"300,3,""Liebefeld, Neumattweg 3"",1380,46.9338996,7.4163610,berne"
"301,5.5,""Rüfenacht BE, Längimoosstr. 5"",2000,46.9292598,7.5367037,berne"
"302,3,""Moutier, Chemin de la Creuse 10"",800,47.2746270,7.3707412,berne"
